name,platform,r-date,score,user score,developer,genre,players,critics,users
The Elder Scrolls V: Skyrim,PC,2011-11-10,94,8.3,BethesdaGameStudios,"Role-Playing,First-Person,First-Person,Western-Style",,32,11301
BioShock Infinite,PlayStation3,2013-03-26,94,8.5,IrrationalGames,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",,27,2207
Final Fantasy IX,PlayStation,2000-11-13,94,9.0,SquareSoft,"Role-Playing,Console-style RPG",,22,1280
Call of Duty: Modern Warfare 2,PlayStation3,2009-11-10,94,6.6,InfinityWard,"Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade",,67,2362
God of War,PlayStation4,2018-04-20,94,9.2,SCESantaMonica,"Action Adventure,Linear",,118,16298
Tony Hawk's Pro Skater 4,PlayStation2,2002-10-23,94,8.4,NeversoftEntertainment,"Sports,Alternative,Skateboarding",,27,182
Devil May Cry,PlayStation2,2001-10-16,94,8.6,Capcom,"Action Adventure,Fantasy",,37,790
Call of Duty 4: Modern Warfare,PlayStation3,2007-11-05,94,8.4,InfinityWard,"Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade",,44,1170
Madden NFL 2002,PlayStation2,2001-08-19,94,7.3,EASports,"Sports,Traditional,Football,Sim",,23,49
Batman: Arkham City,Xbox360,2011-10-18,94,8.7,RocksteadyStudios,"Action Adventure,Fantasy,Fantasy,Open-World",,87,1682
Mass Effect 2,PC,2010-01-26,94,8.9,BioWare,"Role-Playing,Action RPG,Action RPG",,55,4972
The Legend of Zelda: Ocarina of Time 3D,3DS,2011-06-19,94,9.0,GREZZO,"Miscellaneous,Action Adventure,Fantasy,Fantasy,Compilation,Open-World",,85,1625
Chrono Cross,PlayStation,2000-08-15,94,8.8,SquareSoft,"Role-Playing,Console-style RPG",,16,412
Celeste,XboxOne,2018-01-26,94,7.1,MattMakesGamesInc.,"Action,Platformer,2D",,10,268
BioShock,PlayStation3,2008-10-21,94,8.8,"DigitalExtremes,2KMarin","Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",,51,1136
Mass Effect 2,PlayStation3,2011-01-17,94,8.6,BioWare,"Role-Playing,Action RPG,Action RPG",,62,1243
Grand Theft Auto: Vice City,PC,2003-05-12,94,8.8,RockstarNorth,"Action Adventure,Modern,Modern,Open-World",,30,2435
Madden NFL 2004,PlayStation2,2003-08-12,94,8.2,EATiburon,"Sports,Traditional,Football,Sim",,29,147
Gears of War,Xbox360,2006-11-07,94,8.3,EpicGames,"Action,Shooter,Shooter,Third-Person,Sci-Fi,Sci-Fi,Arcade",,88,2653
The Elder Scrolls IV: Oblivion,Xbox360,2006-03-20,94,8.7,BethesdaSoftworks,"Role-Playing,First-Person,First-Person,Western-Style",,90,1257
Sid Meier's Civilization II,PC,1996-02-29,94,8.8,MPSLabs,"Strategy,Turn-Based,Historic,General,Historic,4X",,7,450
Quake,PC,1996-06-22,94,8.8,idSoftware,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",,9,813
Call of Duty 4: Modern Warfare,Xbox360,2007-11-05,94,8.5,InfinityWard,"Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade",,70,1467
