,score,score,score,score,user score,user score,players,players,players
,mean,median,count,std,mean,median,sum,mean,max
genre,,,,,,,,,
"Action Adventure,General,Linear",72.56521739130434,73.0,23,13.517080396690439,7.1521739130434785,7.5,0.0,,
"Action Adventure,General,Modern",82.5,81.0,4,10.78579312490896,6.925,7.0,0.0,,
"Action Adventure,General,Modern,Action,Shooter,Third-Person,Arcade",43.0,43.0,1,,6.7,6.7,0.0,,
"Action Adventure,General,Modern,Open-World",71.0,70.5,8,6.34710282614944,6.4625,6.35,4.0,2.0,2.0
"Action Adventure,General,Open-World",74.1,72.5,10,6.573515886579353,7.06,7.0,0.0,,
"Action Adventure,General,Role-Playing,Action RPG",85.0,85.0,1,,8.3,8.3,0.0,,
"Action Adventure,General,Sandbox",79.0,79.0,1,,8.1,8.1,0.0,,
"Action Adventure,General,Survival",60.0,61.0,14,13.381962601835465,4.8999999999999995,5.5,0.0,,
"Action Adventure,Historic",64.57142857142857,66.0,21,11.931351258643883,7.545,8.149999999999999,0.0,,
"Action Adventure,Historic,General",51.0,51.0,1,,6.7,6.7,0.0,,
"Action Adventure,Historic,General,Historic",57.96153846153846,59.0,26,10.857184788814351,6.342307692307693,6.449999999999999,0.0,,
"Action Adventure,Historic,General,Historic,Linear,Open-World",59.0,59.0,1,,7.4,7.4,0.0,,
"Action Adventure,Historic,General,Historic,Open-World",75.86666666666666,76.0,15,6.289068369192768,7.766666666666667,7.8,0.0,,
"Action Adventure,Historic,Historic,Linear",57.8,57.0,5,4.969909455915671,6.5200000000000005,6.5,0.0,,
"Action Adventure,Historic,Historic,Open-World",75.73170731707317,79.0,41,10.763420437397933,7.239024390243903,7.3,0.0,,
"Action Adventure,Historic,Open-World",70.7,71.5,10,3.1287200080686164,6.15,6.5,0.0,,
"Action Adventure,Horror",70.6896551724138,71.0,87,12.414648460239986,8.094186046511629,8.350000000000001,0.0,,
"Action Adventure,Horror,Adventure,Point-and-Click",72.0,72.0,1,,8.0,8.0,0.0,,
"Action Adventure,Horror,Horror",39.0,39.0,1,,5.0,5.0,0.0,,
"Action Adventure,Horror,Horror,Open-World",72.9,72.0,10,7.7093017409706635,7.15,7.199999999999999,2.0,2.0,2.0
"Action Adventure,Horror,Horror,Survival",67.25409836065573,70.0,122,13.402578680837147,7.037190082644628,7.4,10.0,2.0,2.0
"Action Adventure,Horror,Horror,Survival,Open-World",61.0,61.0,1,,6.4,6.4,0.0,,
"Action Adventure,Horror,Survival",68.15384615384616,72.0,13,11.31257525828487,7.1923076923076925,7.6,2.0,2.0,2.0
"Action Adventure,Horror,Survival,Adventure,3D,Third-Person",79.0,79.0,1,,8.3,8.3,0.0,,
"Action Adventure,Linear",71.6,73.0,45,10.525726060035433,6.953658536585366,7.2,4.0,2.0,2.0
"Action Adventure,Linear,Racing,Arcade,Automobile",35.0,35.0,1,,1.8,1.8,0.0,,
"Action Adventure,Modern",68.56060606060606,68.5,132,15.692297705035887,7.477777777777778,7.9,0.0,,
"Action Adventure,Modern,Fantasy,Fantasy,Open-World",82.66666666666667,83.0,3,1.5275252316519485,7.766666666666666,7.9,0.0,,
"Action Adventure,Modern,Fantasy,Modern,Open-World",83.0,83.0,1,,7.7,7.7,0.0,,
"Action Adventure,Modern,General",81.0,81.0,1,,7.8,7.8,0.0,,
"Action Adventure,Modern,General,Modern",71.11111111111111,76.0,90,14.758310889956022,7.2534090909090905,7.6,0.0,,
"Action Adventure,Modern,General,Modern,Linear",66.0,68.0,11,17.725687574816384,6.672727272727273,6.8,0.0,,
"Action Adventure,Modern,General,Modern,Open-World",78.0,78.0,1,,6.0,6.0,0.0,,
"Action Adventure,Modern,Horror,Horror,Survival",77.66666666666667,83.0,3,9.237604307034013,7.8999999999999995,8.0,0.0,,
"Action Adventure,Modern,Horror,Survival",77.5,77.5,2,3.5355339059327378,7.2,7.2,0.0,,
"Action Adventure,Modern,Linear",73.0,73.0,1,,7.5,7.5,0.0,,
"Action Adventure,Modern,Miscellaneous,Compilation,Compilation",75.0,71.0,3,8.717797887081348,7.866666666666667,7.5,0.0,,
"Action Adventure,Modern,Modern",78.0,78.0,1,,6.3,6.3,0.0,,
"Action Adventure,Modern,Modern,Linear",77.76923076923077,80.0,13,11.7484314283074,7.930769230769231,7.9,0.0,,
"Action Adventure,Modern,Modern,Open-World",80.92857142857143,82.0,42,10.095622951926075,7.54047619047619,7.7,12.0,2.0,2.0
"Action Adventure,Modern,Open-World",83.57142857142857,77.0,7,10.93704931044236,7.642857142857143,7.8,2.0,2.0,2.0
"Action Adventure,Modern,Sci-Fi,General",64.0,64.0,1,,7.2,7.2,0.0,,
"Action Adventure,Modern,Sci-Fi,Sci-Fi,General",48.5,44.0,4,10.408329997330663,4.825,4.05,0.0,,
"Action Adventure,Modern,Sci-Fi,Sci-Fi,Open-World",85.0,85.0,1,,8.3,8.3,0.0,,
"Action Adventure,Modern,Strategy,General",67.0,67.0,1,,7.5,7.5,0.0,,
"Action Adventure,Open-World",73.87647058823529,74.0,170,9.302416140413522,6.727848101265823,7.05,10.0,2.0,2.0
"Action Adventure,Open-World,Action,Beat-'Em-Up,3D",56.5,56.5,2,0.7071067811865476,3.3499999999999996,3.3499999999999996,0.0,,
"Action Adventure,Open-World,Adventure,3D,Third-Person",78.0,78.0,1,,8.7,8.7,0.0,,
"Action Adventure,Open-World,Role-Playing,Action RPG",72.0,72.0,3,2.0,7.133333333333333,7.1,0.0,,
"Action Adventure,Platformer,2D,Fantasy,Action,Platformer,2D",78.0,78.0,1,,8.5,8.5,0.0,,
"Action Adventure,Puzzle,Action,Fantasy,General,Fantasy",74.0,74.0,1,,6.8,6.8,0.0,,
"Action Adventure,Puzzle,Action,General",76.16666666666667,73.0,6,7.467708260682567,7.283333333333334,7.45,0.0,,
"Action Adventure,Racing,Arcade,Linear,Automobile",34.0,34.0,1,,2.0,2.0,0.0,,
"Action Adventure,Role-Playing,Action RPG",55.0,55.0,1,,6.8,6.8,0.0,,
"Action Adventure,Sandbox",74.11764705882354,75.0,17,9.668779349930738,7.329411764705882,7.4,8.0,2.0,2.0
"Action Adventure,Sandbox,Open-World",69.8,68.0,5,4.381780460041327,6.38,6.3,0.0,,
"Action Adventure,Sci-Fi",66.9620253164557,69.0,79,13.85126397821594,7.325641025641025,7.9,0.0,,
"Action Adventure,Sci-Fi,General",57.166666666666664,53.0,12,15.206657234330768,6.0636363636363635,6.3,0.0,,
"Action Adventure,Sci-Fi,General,Action,Shooter,First-Person,Arcade",46.0,46.0,1,,6.1,6.1,0.0,,
"Action Adventure,Sci-Fi,General,Survival",79.33333333333333,79.0,3,1.5275252316519452,8.233333333333333,8.2,0.0,,
"Action Adventure,Sci-Fi,Modern,Open-World",83.0,83.0,1,,7.9,7.9,0.0,,
"Action Adventure,Sci-Fi,Open-World",73.0,73.0,1,,7.4,7.4,0.0,,
"Action Adventure,Sci-Fi,Sci-Fi,General",62.306666666666665,65.0,75,13.906029543246964,6.55,6.85,2.0,2.0,2.0
"Action Adventure,Sci-Fi,Sci-Fi,General,Linear",67.0,67.0,1,,6.6,6.6,0.0,,
"Action Adventure,Sci-Fi,Sci-Fi,Open-World",78.25,78.5,8,2.604940361258633,7.5,7.65,0.0,,
"Action Adventure,Sci-Fi,Sci-Fi,Survival",92.0,92.0,1,,9.1,9.1,0.0,,
"Action Adventure,Survival",69.02994011976048,69.0,167,10.55246510896439,6.783018867924528,6.9,22.0,2.0,2.0
"Action Adventure,Survival,Adventure,3D,First-Person",66.0,66.0,1,,6.3,6.3,0.0,,
"Action Adventure,Survival,Sandbox",56.25,63.0,4,19.102792117035314,4.875,5.1,0.0,,
"Action RPG,Action Adventure,Fantasy,Role-Playing,Action RPG",81.5,81.5,2,2.1213203435596424,8.15,8.15,0.0,,
"Action RPG,Action,Role-Playing,Beat-'Em-Up,Action RPG,Beat-'Em-Up,2D",82.0,82.0,1,,8.4,8.4,0.0,,
"Action RPG,Role-Playing,Action Adventure,General,Action RPG,Open-World",91.0,91.0,1,,9.0,9.0,0.0,,
"Action RPG,Role-Playing,Action RPG",79.73913043478261,84.0,23,12.318564671792027,7.434782608695652,7.9,0.0,,
"Action RPG,Role-Playing,Action RPG,Western-Style",87.0,87.0,1,,8.7,8.7,2.0,2.0,2.0
"Action RPG,Role-Playing,General",68.0,68.0,1,,,,0.0,,
