,score,score,score,score,user score,user score,players,players,players
,mean,median,count,std,mean,median,sum,mean,max
genre,,,,,,,,,
"General,Action,Platformer,2D",69.5,69.5,2,4.949747468305833,7.4,7.4,0.0,,
"General,Action,Platformer,3D",32.0,32.0,1,,3.5,3.5,0.0,,
"General,Action,Platformer,Platformer,2D,2D",63.5,63.5,2,19.091883092036785,6.699999999999999,6.699999999999999,0.0,,
"General,Action,Platformer,Shooter,2D,Scrolling,Shoot-'Em-Up,Vertical",82.0,82.0,1,,7.1,7.1,0.0,,
"General,Action,Platformer,Shooter,2D,Shoot-'Em-Up,Horizontal",74.0,74.0,1,,6.4,6.4,0.0,,
"General,Action,Shooter,First-Person,Arcade",78.75,80.5,4,6.184658438426492,7.574999999999999,7.75,0.0,,
"General,Action,Shooter,First-Person,Historic,Arcade",81.0,81.0,1,,8.2,8.2,0.0,,
"General,Action,Shooter,First-Person,Tactical",89.5,89.5,2,2.1213203435596424,6.8,6.8,0.0,,
"General,Action,Shooter,Shoot-'Em-Up,Top-Down",70.0,70.0,1,,7.0,7.0,0.0,,
"General,Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",83.0,83.0,3,1.0,7.666666666666667,7.7,0.0,,
"General,Action,Shooter,Shooter,Scrolling,Scrolling,Shoot-'Em-Up,Vertical",67.0,67.0,2,2.8284271247461903,5.5,5.5,0.0,,
"General,Action,Shooter,Shooter,Static,Static,Shoot-'Em-Up,Top-Down",82.0,82.0,1,,8.0,8.0,0.0,,
"General,Action,Shooter,Third-Person,Tactical",81.0,81.0,1,,7.7,7.7,0.0,,
"General,Action,Simulation,General,Marine,Combat",81.0,81.0,1,,6.3,6.3,0.0,,
"General,Adventure,3D,First-Person",81.33333333333333,81.0,3,6.50640709864771,6.666666666666667,7.0,0.0,,
"General,Adventure,3D,First-Person,Sci-Fi",75.0,75.0,1,,7.7,7.7,0.0,,
"General,Adventure,3D,Third-Person",57.5,57.5,2,9.192388155425117,6.2,6.2,0.0,,
"General,Adventure,3D,Third-Person,Fantasy",80.0,80.0,1,,7.8,7.8,0.0,,
"General,Adventure,General",69.0,70.0,9,11.989578808281792,6.866666666666666,6.8,0.0,,
"General,Adventure,General,3D,First-Person",82.0,82.0,1,,6.6,6.6,0.0,,
"General,Adventure,General,3D,Point-and-Click,Third-Person,Fantasy",82.0,82.0,1,,7.7,7.7,0.0,,
"General,Adventure,General,Point-and-Click",76.0,76.0,2,5.656854249492381,8.2,8.2,0.0,,
"General,Adventure,General,Visual Novel",65.66666666666667,68.0,3,10.692676621563628,7.466666666666666,7.6,0.0,,
"General,Adventure,Point-and-Click",71.75,75.0,4,10.144785195688803,4.875,4.699999999999999,0.0,,
"General,Adventure,Text",65.0,65.0,1,,5.6,5.6,0.0,,
"General,Adventure,Visual Novel",72.66666666666667,72.0,3,9.01849950564579,7.3999999999999995,8.0,0.0,,
"General,Fantasy,Action Adventure,Open-World",86.0,86.0,2,1.4142135623730951,7.45,7.45,0.0,,
"General,Fantasy,MOBA,Strategy,Real-Time,MOBA",90.0,90.0,1,,6.5,6.5,0.0,,
"General,Fantasy,Role-Playing,Strategy,Turn-Based,Japanese-Style,General",80.0,80.0,1,,7.9,7.9,0.0,,
"General,General,Action,Action Adventure,Shooter,Linear,Third-Person,Sci-Fi,Arcade",63.0,63.0,1,,6.7,6.7,0.0,,
"General,General,Action,Platformer,2D",78.5,78.5,2,2.1213203435596424,8.35,8.35,0.0,,
"General,General,Action,Shooter,First-Person,Tactical",73.33333333333333,73.0,3,1.5275252316519452,4.333333333333333,4.5,0.0,,
"General,General,Action,Shooter,Third-Person,Arcade",64.0,64.0,1,,7.2,7.2,0.0,,
"General,General,Adventure,Point-and-Click",62.0,62.0,2,29.698484809834994,6.0,6.0,0.0,,
"General,General,Role-Playing,Western-Style",81.0,81.0,1,,6.9,6.9,0.0,,
"General,General,Scrolling,Action,Shooter,Shoot-'Em-Up,Top-Down",79.0,79.0,1,,6.9,6.9,0.0,,
"General,General,Strategy,City Building,Management,Modern,Government",73.0,73.0,1,,8.1,8.1,0.0,,
"General,Historic,Action,Shooter,First-Person,Tactical,Arcade",70.0,70.0,1,,7.8,7.8,0.0,,
"General,Historic,Strategy,Turn-Based,Tactics",85.0,85.0,1,,8.2,8.2,0.0,,
"General,Logic,Puzzle,Miscellaneous,Puzzle,General",81.0,81.0,1,,8.1,8.1,0.0,,
"General,Miscellaneous,Adventure,General",57.0,57.0,1,,8.2,8.2,0.0,,
"General,Miscellaneous,General",75.16666666666667,75.0,6,10.833589740555372,6.783333333333334,7.05,0.0,,
"General,Miscellaneous,Puzzle,Action,General",68.0,68.0,1,,5.8,5.8,0.0,,
"General,Miscellaneous,Puzzle,Action,Puzzle,Action",76.0,76.0,1,,7.6,7.6,0.0,,
"General,Modern,Action Adventure,Linear",93.0,93.0,1,,8.5,8.5,0.0,,
"General,Puzzle",66.0,66.0,1,,6.2,6.2,0.0,,
"General,Puzzle,Action",78.0,78.0,1,,7.7,7.7,0.0,,
"General,Puzzle,Miscellaneous,Adventure,Puzzle,Point-and-Click,General",58.0,58.0,1,,6.3,6.3,0.0,,
"General,Puzzle,Miscellaneous,Puzzle,Action",65.0,65.0,1,,6.6,6.6,0.0,,
"General,Puzzle,Miscellaneous,Puzzle,Action,General",72.0,72.0,1,,6.8,6.8,0.0,,
"General,Puzzle,Miscellaneous,Puzzle,General",79.0,79.0,2,0.0,7.85,7.85,0.0,,
"General,Puzzle,Simulation,Virtual,Career",46.0,46.0,1,,7.0,7.0,0.0,,
"General,Racing,Arcade,Futuristic",76.0,76.0,2,7.0710678118654755,6.95,6.95,0.0,,
"General,Role-Playing,Action RPG",73.5,73.5,2,2.1213203435596424,7.1,7.1,0.0,,
"General,Role-Playing,Console-style RPG,Console-style RPG,Japanese-Style",85.0,85.0,1,,8.7,8.7,0.0,,
"General,Role-Playing,Console-style RPG,Console-style RPG,Roguelike",59.0,59.0,1,,6.3,6.3,0.0,,
"General,Role-Playing,First-Person,General,Western-Style",70.0,70.0,1,,8.6,8.6,0.0,,
"General,Role-Playing,General",76.54545454545455,75.0,11,7.5148338153765675,7.527272727272727,8.3,0.0,,
"General,Role-Playing,General,Action RPG,Western-Style",87.0,87.0,2,2.8284271247461903,7.2,7.2,0.0,,
"General,Role-Playing,General,Japanese-Style",67.6,67.0,5,7.861297602813418,7.06,6.7,0.0,,
"General,Role-Playing,General,Roguelike",82.0,82.0,1,,7.6,7.6,0.0,,
"General,Role-Playing,Japanese-Style",73.33333333333333,75.5,6,10.689558768567888,7.866666666666667,7.95,0.0,,
"General,Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Fantasy,Fantasy",90.0,90.0,1,,8.1,8.1,0.0,,
"General,Role-Playing,Strategy,Turn-Based,General,Tactics",69.5,69.5,2,2.1213203435596424,7.4,7.4,0.0,,
"General,Role-Playing,Western-Style",82.14285714285714,81.0,7,4.375255094603874,6.185714285714285,6.7,0.0,,
"General,Scrolling,Action,Shooter,Shoot-'Em-Up,Top-Down",85.0,85.0,1,,6.3,6.3,0.0,,
"General,Shooter,Historic,Action,Shooter,First-Person,Historic,Arcade",79.0,79.0,2,0.0,7.949999999999999,7.949999999999999,0.0,,
"General,Shooter,Sci-Fi,General,Action,Shooter,Third-Person,Arcade",69.0,69.0,1,,8.3,8.3,0.0,,
"General,Shooter,Scrolling,Scrolling,Action,Shooter,Shoot-'Em-Up,Vertical",82.0,82.0,1,,7.1,7.1,0.0,,
"General,Simulation,Flight,General,Combat",57.0,57.0,1,,5.3,5.3,0.0,,
"General,Sports,General",60.0,60.0,1,,5.0,5.0,0.0,,
"General,Sports,General,Individual,Combat,Boxing / Martial Arts",70.0,70.0,2,0.0,6.199999999999999,6.199999999999999,4.0,2.0,2.0
"General,Sports,Team,Futuristic",79.0,79.0,1,,6.5,6.5,0.0,,
"General,Strategy,Adventure,Turn-Based,General,Tactics",61.0,61.0,1,,7.1,7.1,0.0,,
"General,Strategy,General",76.5,77.5,4,4.654746681256316,7.625,7.9,0.0,,
"General,Strategy,Management,Business / Tycoon",59.0,59.0,1,,5.9,5.9,0.0,,
"General,Strategy,Miscellaneous,Turn-Based,General,4X",52.0,52.0,1,,5.5,5.5,0.0,,
"General,Strategy,Real-Time,Command",62.5,62.5,2,0.7071067811865476,5.35,5.35,0.0,,
"General,Strategy,Real-Time,General,Defense",81.0,81.0,1,,6.7,6.7,0.0,,
"General,Strategy,Turn-Based,4X",66.0,66.0,1,,5.6,5.6,0.0,,
"General,Strategy,Turn-Based,General,4X",58.0,58.0,1,,6.7,6.7,0.0,,
"General,Strategy,Turn-Based,Sci-Fi,Modern,Tactics",84.0,84.0,1,,7.2,7.2,0.0,,
"General,Strategy,Turn-Based,Tactics",80.14285714285714,82.0,7,3.6709931185158196,6.585714285714286,6.9,0.0,,
"Government,Strategy,Management,Business / Tycoon",62.0,62.0,1,,7.6,7.6,0.0,,
"Historic,Action Adventure,General",40.0,40.0,1,,4.7,4.7,0.0,,
"Historic,Action Adventure,General,Fantasy",70.5,70.5,2,2.1213203435596424,6.75,6.75,0.0,,
"Historic,Action Adventure,General,Linear",68.0,68.0,2,1.4142135623730951,5.949999999999999,5.949999999999999,0.0,,
"Historic,Action Adventure,Open-World",75.5,75.0,4,1.9148542155126762,6.7,6.6,0.0,,
"Historic,Action Adventure,Survival",69.0,69.0,1,,6.3,6.3,0.0,,
"Historic,Historic,Strategy,Action Adventure,Real-Time,Open-World,General",27.0,27.0,1,,3.3,3.3,0.0,,
"Historic,Role-Playing,Action Adventure,General,Action RPG",66.66666666666667,68.0,3,3.2145502536643202,6.766666666666667,7.2,0.0,,
"Historic,Shooter,Action,Simulation,Shooter,Vehicle,Third-Person,Combat,Tactical,Historic",77.0,77.0,1,,6.7,6.7,0.0,,
"Historic,Strategy,Real-Time,General",83.0,83.0,1,,7.4,7.4,0.0,,
"Historic,Strategy,Real-Time,General,Historic",71.0,71.0,2,8.48528137423857,6.85,6.85,0.0,,
"Historic,Strategy,Turn-Based,General,Tactics",73.0,73.0,1,,7.4,7.4,0.0,,
"Horror,Action Adventure,Adventure,3D,Survival,First-Person",73.0,73.0,1,,6.8,6.8,0.0,,
"Horror,Action Adventure,General,Horror,Survival,Linear",46.5,46.5,2,4.949747468305833,4.800000000000001,4.800000000000001,0.0,,
"Horror,Action Adventure,Horror,Survival",69.66666666666667,74.0,9,11.9895788082818,6.888888888888889,7.5,0.0,,
"Horror,Action Adventure,Survival",67.7,73.0,10,18.37298741812737,6.7700000000000005,7.45,4.0,2.0,2.0
"Horror,Action,Action Adventure,Shooter,Survival,Shoot-'Em-Up,Top-Down",88.0,88.0,1,,7.8,7.8,0.0,,
"Horror,Horror,Action Adventure,Survival",76.83333333333333,77.0,6,6.30608172058265,7.466666666666666,7.65,0.0,,
"Horror,Horror,Action,Action Adventure,Shooter,Survival,Shoot-'Em-Up,Top-Down",86.0,86.0,1,,8.4,8.4,0.0,,
"Ice Hockey,Sim,Sports,Traditional,Team,Soccer,Sim,Sim",85.0,85.0,2,1.4142135623730951,4.3,4.3,0.0,,
"Japanese-Style,Role-Playing,Action RPG",78.75,79.5,4,7.41057802513857,6.775,6.8,0.0,,
"Japanese-Style,Role-Playing,Trainer",76.0,76.0,1,,8.0,8.0,0.0,,
"MOBA,Strategy,Real-Time,MOBA",68.0,68.0,1,,6.7,6.7,0.0,,
"Massively Multiplayer Online,Fantasy,Role-Playing,Massively Multiplayer",80.0,86.0,3,10.392304845413264,7.1000000000000005,8.3,0.0,,
"Massively Multiplayer Online,Modern,Role-Playing,Massively Multiplayer",20.0,20.0,1,,1.7,1.7,0.0,,
"Massively Multiplayer Online,Role-Playing,Sci-Fi,Action,Shooter,Shooter,Third-Person,Sci-Fi,Sci-Fi,Arcade",61.0,60.0,3,2.6457513110645907,6.833333333333333,6.8,0.0,,
"Massively Multiplayer,Role-Playing,Action RPG",64.0,64.0,1,,5.1,5.1,2.0,2.0,2.0
"Military,Strategy,Real-Time,General",73.0,73.0,2,2.8284271247461903,7.449999999999999,7.449999999999999,0.0,,
"Miscellaneous,Action Adventure,Adventure,General,Fantasy,General,Compilation,Linear",80.0,80.0,1,,8.4,8.4,0.0,,
"Miscellaneous,Action Adventure,Adventure,General,General,Compilation,Linear",68.0,68.0,2,19.79898987322333,7.0,7.0,0.0,,
"Miscellaneous,Action Adventure,Adventure,Sci-Fi,Compilation,3D,Compilation,Third-Person",66.0,66.0,1,,4.1,4.1,0.0,,
"Miscellaneous,Action Adventure,Fantasy,Compilation",77.33333333333333,77.0,3,3.5118845842842448,8.566666666666668,8.8,0.0,,
"Miscellaneous,Action Adventure,Fantasy,Compilation,Compilation",91.5,91.5,2,0.7071067811865476,8.7,8.7,0.0,,
"Miscellaneous,Action Adventure,Fantasy,Fantasy,Compilation,Open-World",94.0,94.0,1,,9.0,9.0,0.0,,
"Miscellaneous,Action Adventure,Fantasy,General,General,Fantasy",65.5,65.5,2,2.1213203435596424,6.85,6.85,0.0,,
"Miscellaneous,Action Adventure,Fantasy,General,General,Fantasy,Linear",72.0,72.0,1,,7.8,7.8,0.0,,
"Miscellaneous,Action Adventure,General",74.0,74.0,2,4.242640687119285,7.75,7.75,0.0,,
"Miscellaneous,Action Adventure,General,Compilation",86.0,86.0,1,,8.6,8.6,0.0,,
"Miscellaneous,Action Adventure,Horror,Compilation",69.0,69.0,1,,5.5,5.5,0.0,,
"Miscellaneous,Action Adventure,Horror,Compilation,Compilation",70.0,70.0,1,,4.7,4.7,0.0,,
"Miscellaneous,Action Adventure,Modern,Compilation,Compilation",85.0,85.0,2,5.656854249492381,8.7,8.7,0.0,,
"Miscellaneous,Action Adventure,Puzzle,Action,Modern",81.0,81.0,1,,7.2,7.2,0.0,,
"Miscellaneous,Action Adventure,Puzzle,Puzzle,General,Puzzle,Sandbox,General",65.0,65.0,2,9.899494936611665,6.9,6.9,0.0,,
"Miscellaneous,Action,Puzzle,Puzzle,Action",67.0,67.0,2,15.556349186104045,7.1,7.1,0.0,,
"Miscellaneous,Action,Rhythm,Music",76.66666666666667,76.0,3,3.055050463303895,6.933333333333334,7.2,0.0,,
"Miscellaneous,Adventure,3D,Compilation,Modern,Third-Person",72.0,72.0,1,,8.1,8.1,0.0,,
"Miscellaneous,Adventure,Compilation,Compilation,Point-and-Click",87.0,87.0,2,7.0710678118654755,8.6,8.6,0.0,,
"Miscellaneous,Adventure,Edutainment,Edutainment,Visual Novel",52.0,52.0,1,,6.7,6.7,0.0,,
"Miscellaneous,Adventure,First-Person,Edutainment,Modern",72.0,72.0,1,,6.7,6.7,0.0,,
"Miscellaneous,Adventure,General",71.5,71.5,2,3.5355339059327378,5.3,5.3,0.0,,
"Miscellaneous,Adventure,General,3D,Compilation,Point-and-Click,Third-Person",74.5,74.5,2,0.7071067811865476,7.65,7.65,0.0,,
"Miscellaneous,Adventure,General,3D,Compilation,Third-Person",80.28571428571429,81.0,7,3.592319850008059,7.585714285714286,7.7,0.0,,
"Miscellaneous,Adventure,General,3D,First-Person",82.0,82.0,1,,8.0,8.0,0.0,,
"Miscellaneous,Adventure,General,3D,First-Person,Modern",87.0,87.0,1,,7.0,7.0,0.0,,
"Miscellaneous,Adventure,General,Board / Card Game",68.0,68.0,1,,5.9,5.9,0.0,,
"Miscellaneous,Adventure,General,Compilation",77.375,77.5,16,4.031128874149274,7.6466666666666665,7.6,0.0,,
"Miscellaneous,Adventure,General,Compilation,3D,Compilation,Point-and-Click,Third-Person",74.0,74.0,1,,8.3,8.3,0.0,,
"Miscellaneous,Adventure,General,Compilation,Point-and-Click",85.08333333333333,84.5,12,3.117642854737698,8.450000000000001,8.5,0.0,,
"Miscellaneous,Adventure,General,General",53.0,53.0,1,,7.0,7.0,0.0,,
"Miscellaneous,Adventure,General,General,Party / Minigame",61.0,61.0,1,,6.3,6.3,2.0,2.0,2.0
"Miscellaneous,Adventure,General,Party / Minigame",74.0,74.0,2,8.48528137423857,6.800000000000001,6.800000000000001,0.0,,
"Miscellaneous,Adventure,General,Party,Party,Party / Minigame",59.0,59.0,1,,6.4,6.4,0.0,,
"Miscellaneous,Adventure,General,Point-and-Click",68.0,68.0,1,,6.0,6.0,0.0,,
"Miscellaneous,Adventure,General,Puzzle",64.0,64.0,1,,7.2,7.2,0.0,,
"Miscellaneous,Adventure,Puzzle,Edutainment,General,Puzzle,General",85.0,85.0,1,,8.4,8.4,0.0,,
"Miscellaneous,Adventure,Puzzle,General,3D,First-Person",64.0,64.0,1,,7.6,7.6,0.0,,
"Miscellaneous,Adventure,Puzzle,General,Hidden Object,Puzzle",65.0,65.0,1,,,,0.0,,
"Miscellaneous,Adventure,Puzzle,Puzzle,General,Puzzle,Point-and-Click,General",62.5,62.5,2,9.192388155425117,6.85,6.85,0.0,,
"Miscellaneous,Application",74.0,74.0,1,,,,0.0,,
"Miscellaneous,Board / Card Game",69.62962962962963,71.0,27,11.031940160447926,6.444,6.6,2.0,2.0,2.0
"Miscellaneous,Board Games",76.4,79.0,5,5.856620185738531,8.125,8.25,0.0,,
"Miscellaneous,Board Games,Board / Card Game",72.71428571428571,74.0,7,5.93616839704664,6.3999999999999995,6.9,0.0,,
"Miscellaneous,Board Games,Board Games",81.0,81.0,1,,7.5,7.5,0.0,,
"Miscellaneous,Board Games,Board Games,Board / Card Game",66.87096774193549,66.0,31,9.333602146666538,6.677777777777778,6.8,0.0,,
"Miscellaneous,Board Games,Board Games,Board / Card Game,Party / Minigame",83.0,83.0,1,,7.8,7.8,0.0,,
"Miscellaneous,Card Battle",62.84615384615385,66.0,13,7.2897891355666555,8.153846153846153,8.2,0.0,,
"Miscellaneous,Card Battle,Strategy,Turn-Based,Card Battle",87.0,87.0,1,,6.3,6.3,0.0,,
"Miscellaneous,Compilation",74.63414634146342,76.0,205,7.762895967485916,7.527011494252874,7.9,18.0,2.0,2.0
"Miscellaneous,Compilation,Action,Shooter,First-Person,Sci-Fi,Arcade",85.0,85.0,1,,7.6,7.6,0.0,,
"Miscellaneous,Compilation,Compilation",69.08333333333333,70.5,48,9.864687361370791,7.443589743589744,7.7,4.0,2.0,2.0
"Miscellaneous,Compilation,Party,Compilation",53.0,53.0,1,,8.7,8.7,0.0,,
"Miscellaneous,Compilation,Party,Party,Party / Minigame",36.333333333333336,29.0,3,16.289055630494158,5.066666666666666,5.5,0.0,,
"Miscellaneous,Compilation,Role-Playing,Action RPG",76.0,76.0,1,,8.2,8.2,0.0,,
"Miscellaneous,Compilation,Strategy,Turn-Based,Tactics",70.0,70.0,1,,7.1,7.1,0.0,,
"Miscellaneous,Driving,Mission-based,Compilation",64.0,64.0,1,,7.0,7.0,0.0,,
"Miscellaneous,Driving,Racing,General,Arcade,Arcade,Automobile",64.0,64.0,1,,7.5,7.5,0.0,,
"Miscellaneous,Edutainment",75.33333333333333,80.0,3,9.865765724632492,6.933333333333334,7.0,0.0,,
"Miscellaneous,Edutainment,Adventure,3D,Fantasy,Third-Person,Fantasy",79.0,79.0,1,,6.9,6.9,0.0,,
"Miscellaneous,Edutainment,Application",72.0,72.0,1,,7.1,7.1,0.0,,
"Miscellaneous,Edutainment,Compilation",48.0,48.0,1,,,,0.0,,
"Miscellaneous,Edutainment,Edutainment",65.3529411764706,68.0,17,14.700940346073905,6.6461538461538465,7.3,0.0,,
"Miscellaneous,Exercise / Fitness",75.0,76.0,3,8.54400374531753,7.3,6.7,0.0,,
"Miscellaneous,Gambling",73.0,73.0,1,,3.9,3.9,0.0,,
"Miscellaneous,General",62.416666666666664,64.5,12,14.080665876127856,6.1499999999999995,5.95,0.0,,
"Miscellaneous,General,Action Adventure,Modern,General,Modern,Open-World",77.0,77.0,1,,4.9,4.9,0.0,,
"Miscellaneous,General,Action Adventure,Sandbox",89.0,89.0,1,,8.7,8.7,0.0,,
"Miscellaneous,General,Adventure,3D,First-Person",81.0,81.0,1,,7.4,7.4,0.0,,
"Miscellaneous,General,Adventure,General",82.0,82.0,3,2.0,8.166666666666666,8.2,0.0,,
"Miscellaneous,General,Application",81.5,81.5,2,16.263455967290593,6.85,6.85,0.0,,
"Miscellaneous,General,Board / Card Game",75.0,75.0,1,,7.1,7.1,0.0,,
"Miscellaneous,General,Edutainment",76.0,76.0,1,,7.7,7.7,0.0,,
"Miscellaneous,General,General",68.47058823529412,70.0,34,9.122849415707545,6.666666666666667,6.9,0.0,,
"Miscellaneous,General,General,Application",74.0,74.0,2,21.213203435596427,5.9,5.9,0.0,,
"Miscellaneous,General,General,Puzzle,Puzzle,Action",76.0,76.0,1,,7.6,7.6,0.0,,
"Miscellaneous,General,General,Puzzle,Puzzle,Adventure,3D,First-Person",87.0,87.0,1,,7.2,7.2,0.0,,
"Miscellaneous,General,Puzzle,Logic",75.0,75.0,1,,7.5,7.5,0.0,,
"Miscellaneous,General,Puzzle,Puzzle,General",70.0,70.0,1,,5.6,5.6,0.0,,
"Miscellaneous,General,Simulation,General,General,Virtual,Career",65.0,65.0,1,,7.4,7.4,0.0,,
"Miscellaneous,Music Maker",66.6,77.0,5,16.08726204175216,7.0,7.1,0.0,,
"Miscellaneous,Music Maker,Music Maker,Application",81.0,81.0,3,1.0,7.333333333333333,7.8,0.0,,
"Miscellaneous,Music,Action,Rhythm,Music",76.0,76.0,1,,7.1,7.1,0.0,,
"Miscellaneous,Parlor,Action,Pinball",68.0,68.0,1,,7.3,7.3,0.0,,
"Miscellaneous,Parlor,Billiards",66.33333333333333,66.0,6,9.114091653404998,7.8,7.8,0.0,,
"Miscellaneous,Parlor,Gambling",57.5,60.0,14,8.382674440131307,6.762499999999999,6.5,0.0,,
"Miscellaneous,Parlor,Gambling,Board / Card Game,Gambling",64.0,64.0,1,,7.4,7.4,0.0,,
"Miscellaneous,Parlor,Gambling,Gambling",65.2,66.0,20,8.685135516925936,6.2299999999999995,6.7,0.0,,
"Miscellaneous,Parlor,Pinball",65.44444444444444,68.0,9,16.462921301451264,6.8999999999999995,7.6,0.0,,
"Miscellaneous,Parlor,Pinball,Pinball",60.0,60.0,1,,,,0.0,,
"Miscellaneous,Party",63.833333333333336,66.0,24,14.39101974410995,6.995833333333334,7.300000000000001,0.0,,
"Miscellaneous,Party / Minigame",68.63888888888889,68.5,36,8.367121975848699,6.566666666666666,6.9,2.0,2.0,2.0
"Miscellaneous,Party,Board Games,Board / Card Game",71.0,71.0,1,,,,0.0,,
"Miscellaneous,Party,Party,Party / Minigame",57.21739130434783,58.0,46,15.24745959675216,5.94,6.3,0.0,,
"Miscellaneous,Party,Trivia / Game Show,Party,Party / Minigame",47.0,47.0,1,,3.9,3.9,0.0,,
"Miscellaneous,Puzzle,Action",69.625,66.0,8,7.614600636746675,6.3,6.6,0.0,,
"Miscellaneous,Puzzle,Action,General",72.0,72.0,1,,5.7,5.7,0.0,,
"Miscellaneous,Puzzle,Action,General,General",77.5,77.5,2,0.7071067811865476,7.5,7.5,2.0,2.0,2.0
"Miscellaneous,Puzzle,Action,General,Puzzle,Action",70.28571428571429,70.0,7,17.46152232495099,6.942857142857143,8.0,0.0,,
"Miscellaneous,Puzzle,Action,General,Puzzle,General",73.33333333333333,73.0,3,2.516611478423582,7.166666666666667,7.3,0.0,,
"Miscellaneous,Puzzle,Action,General,Puzzle,Puzzle,Action",81.0,81.0,1,,8.2,8.2,0.0,,
"Miscellaneous,Puzzle,Action,Logic",80.0,80.0,1,,8.0,8.0,0.0,,
"Miscellaneous,Puzzle,Action,Platformer,2D",74.0,74.0,2,2.8284271247461903,7.5,7.5,0.0,,
"Miscellaneous,Puzzle,Action,Puzzle,Action",72.15,72.5,20,9.460583046458998,7.429411764705883,7.5,0.0,,
"Miscellaneous,Puzzle,Action,Puzzle,General,General",69.71428571428571,71.0,7,9.51690225711227,6.9,7.2,0.0,,
"Miscellaneous,Puzzle,Action,Puzzle,General,Puzzle,General",74.4,79.0,15,10.608621830513945,7.290000000000001,7.75,2.0,2.0,2.0
"Miscellaneous,Puzzle,Action,Puzzle,General,Puzzle,General,Action",64.0,64.0,1,,7.3,7.3,0.0,,
"Miscellaneous,Puzzle,Action,Puzzle,Logic,Logic",71.5,70.5,4,3.8729833462074184,6.533333333333334,6.9,0.0,,
"Miscellaneous,Puzzle,Action,Puzzle,Party / Minigame,Action",46.0,46.0,1,,,,0.0,,
"Miscellaneous,Puzzle,Action,Puzzle,Puzzle,Action",72.27586206896552,75.0,29,11.77738920778812,7.314285714285714,7.7,0.0,,
"Miscellaneous,Puzzle,Action,Puzzle,Puzzle,General",70.0,70.0,1,,7.3,7.3,0.0,,
"Miscellaneous,Puzzle,Action,Puzzle,Puzzle,General,Action",75.0,74.5,4,2.1602468994692883,7.25,7.2,0.0,,
"Miscellaneous,Puzzle,Action,Puzzle,Puzzle,Logic,Logic",66.0,66.0,2,5.656854249492381,,,0.0,,
"Miscellaneous,Puzzle,Action,Shooter,Puzzle,Puzzle,Third-Person,Action,Sci-Fi",35.0,35.0,1,,4.5,4.5,0.0,,
"Miscellaneous,Puzzle,Edutainment,General,Edutainment",50.0,50.0,1,,,,0.0,,
"Miscellaneous,Puzzle,General",69.10344827586206,71.0,29,12.576465627700388,7.090476190476191,7.4,2.0,2.0,2.0
"Miscellaneous,Puzzle,General,General,Puzzle,Puzzle,Adventure,3D,First-Person",87.0,87.0,1,,6.9,6.9,0.0,,
"Miscellaneous,Puzzle,General,Puzzle,Action",74.0,74.0,1,,7.6,7.6,0.0,,
"Miscellaneous,Puzzle,General,Puzzle,General",69.61538461538461,71.0,26,10.55680604378777,6.6875,6.6,0.0,,
"Miscellaneous,Puzzle,General,Puzzle,Logic,General",75.0,75.0,2,1.4142135623730951,7.4,7.4,0.0,,
"Miscellaneous,Puzzle,General,Puzzle,Matching,General",83.0,83.0,1,,7.9,7.9,0.0,,
"Miscellaneous,Puzzle,General,Puzzle,Puzzle,General",75.0,75.0,1,,6.1,6.1,0.0,,
"Miscellaneous,Puzzle,Hidden Object,Puzzle,General",65.0,65.0,1,,8.0,8.0,0.0,,
"Miscellaneous,Puzzle,Logic",66.6,68.0,5,8.354639429682168,5.966666666666666,5.9,0.0,,
"Miscellaneous,Puzzle,Logic,Puzzle,Strategy,General,General",79.0,79.0,1,,7.9,7.9,0.0,,
"Miscellaneous,Puzzle,Matching",75.57142857142857,74.0,14,5.68011762763205,7.875,7.8,0.0,,
"Miscellaneous,Puzzle,Party,General",32.0,32.0,1,,,,0.0,,
"Miscellaneous,Puzzle,Puzzle,Board Games,Board / Card Game,General,General",67.0,67.0,1,,5.3,5.3,0.0,,
"Miscellaneous,Puzzle,Puzzle,General",70.71428571428571,73.0,7,8.118174789000417,7.300000000000001,7.300000000000001,0.0,,
"Miscellaneous,Puzzle,Puzzle,General,General",64.54166666666667,66.5,24,14.018556542534323,6.742857142857143,7.1,0.0,,
"Miscellaneous,Puzzle,Puzzle,General,Logic,General",62.0,63.0,4,15.099668870541498,6.75,6.75,0.0,,
"Miscellaneous,Puzzle,Puzzle,General,Matching,General",59.333333333333336,60.0,3,5.033222956847167,6.0,6.0,0.0,,
"Miscellaneous,Puzzle,Puzzle,General,Puzzle,Action",59.0,59.0,1,,5.6,5.6,0.0,,
"Miscellaneous,Puzzle,Puzzle,General,Puzzle,Application,General",69.0,69.0,1,,,,0.0,,
"Miscellaneous,Puzzle,Puzzle,General,Puzzle,Board / Card Game,General",47.0,47.0,1,,7.1,7.1,0.0,,
"Miscellaneous,Puzzle,Puzzle,General,Puzzle,General",68.65263157894736,70.0,95,10.280914378007846,7.237096774193549,7.5,6.0,2.0,2.0
"Miscellaneous,Puzzle,Puzzle,General,Puzzle,Logic,General",66.0,77.0,3,23.515952032609693,6.333333333333333,7.7,0.0,,
